"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"IDM00096171","JAPURA, ID","2022-05",,,,,"0","30","27",,"95",,,,,"92.4",
"IDM00096171","JAPURA, ID","2022-06",,"444","0","0","0","30","21","72","94",,"0",,"82.1","90.5","73.7"
"IDM00096171","JAPURA, ID","2022-07","456","456","0","0","0","31","20","69","95",,"0",,"81.9","90.9","72.9"
"IDM00096171","JAPURA, ID","2022-08",,,,,"0","31","17",,"95",,,,,"90.2",
"IDM00096171","JAPURA, ID","2022-09",,,,,"0","30","19",,"94",,,,,"89.9",
"IDM00096171","JAPURA, ID","2022-10",,,,,"0","30","19",,"96",,,,,"90.2",
"IDM00097260","SUMBAWA BESAR, ID","2022-01",,,,,"0","28","0",,"90",,,,,"87.3",
"IDM00097260","SUMBAWA BESAR, ID","2022-02",,,,,"0","26","1",,"90",,,,,"87.6",
"IDM00097260","SUMBAWA BESAR, ID","2022-03",,,,,"0","31","10",,"95",,,,,"89.1",
"IDM00097260","SUMBAWA BESAR, ID","2022-04",,,,,"0","29","23",,"95",,,,,"91.4",
"IDM00097260","SUMBAWA BESAR, ID","2022-05",,,,,"0","30","27",,"95",,,,,"92.2",
"IDM00097260","SUMBAWA BESAR, ID","2022-06",,,,,"0","29","28",,"94",,,,,"91.7",
"IDM00097260","SUMBAWA BESAR, ID","2022-07",,,,,"0","31","25",,"93",,,,,"90.7",
"IDM00097260","SUMBAWA BESAR, ID","2022-08",,,,,"0","31","31",,"95",,,,,"92.9",
"IDM00097260","SUMBAWA BESAR, ID","2022-09",,,,,"0","30","29",,"97",,,,,"94.5",
"IDM00097260","SUMBAWA BESAR, ID","2022-10",,,,,"0","30","28",,"97",,,,,"92.2",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-01",,,,,"0","29","3",,"90",,,,,"86.3",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-02",,,,,"0","25","2",,"92",,,,,"87.0",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-03",,,,,"0","30","7",,"91",,,,,"88.4",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-04",,,,,"0","28","19",,"92",,,,,"90.3",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-05",,,,,"0","27","20",,"94",,,,,"90.7",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-06",,,,,"0","28","16",,"92",,,,,"89.7",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-07",,,,,"0","31","17",,"93",,,,,"90.0",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-08",,,,,"0","30","14",,"92",,,,,"89.7",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-09",,,,,"0","30","19",,"95",,,,,"90.6",
"IDM00097182","UJANG PANDANG PAOTERE, ID","2022-10",,,,,"0","27","15",,"94",,,,,"90.1",
"IDM00097380","SABU TARDAMU, ID","2022-01",,"471","0","0","0","29","12","74","92","0","0",,"82.5","88.9","76.0"
"IDM00097380","SABU TARDAMU, ID","2022-02",,"442","0","0","0","28","12","71","92","0","0",,"81.8","88.8","74.9"
"IDM00097380","SABU TARDAMU, ID","2022-03",,,"0","0","0","29","19","74","94",,,,"82.9","89.8","76.0"
"IDM00097380","SABU TARDAMU, ID","2022-04",,"499","0","0","0","29","29","72","94",,"0",,"83.5","92.0","75.0"
"IDM00097380","SABU TARDAMU, ID","2022-05",,"518","0","0","0","29","29","71","94",,"0",,"84.9","92.1","77.6"
"IDM00097380","SABU TARDAMU, ID","2022-06",,"540","0","0","0","30","17","74","93",,"0",,"83.6","90.0","77.2"
"IDM00097380","SABU TARDAMU, ID","2022-07",,,,,"0","31","0",,"90",,,,,"87.0",
"IDM00097380","SABU TARDAMU, ID","2022-08",,"450","0","0","0","31","16","64","92",,"0",,"81.6","89.5","73.8"
